date,hour,number,title,link
2026-01-15,23:37,3/2026,TREX S.A. - Informacja o skonsolidowanych i jednostkowych przychodach ze sprzedaży za IV kwartał 2025 r.,https://espiebi.pap.pl/node/713173
2026-01-15,22:58,1/2026,ICE CODE GAMES S.A. - Zaakceptowanie przez wydawcę wykonania pierwszego etapu gry Nightmare Frontiers,https://espiebi.pap.pl/node/713172
2026-01-15,20:46,1/2026,Grupa Klepsydra SA - Harmonogram publikacji raportów okresowych,https://espiebi.pap.pl/node/643673
2026-01-15,20:44,2/2026,ZE PAK S.A. - Ogłoszenie o zwołaniu Nadzwyczajnego Walnego Zgromadzenia ZE PAK SA na żądanie akcjonariusza,https://espiebi.pap.pl/node/713171
2026-01-15,20:39,1/2026,SELVITA S.A. - Rekomendowanie projektu Selvita S.A. do dofinansowania w ramach programu FENG / Recommendation of Selvita S.A. Project for Co-funding under the FENG Program,https://espiebi.pap.pl/node/713170
2026-01-15,20:32,1/2026,INVESTMENT FRIENDS CAPITAL SE - Rejestracja zmian Statutu Spółki - Umorzenie akcji. Registration of changes to the Company's AoA - Cancellation of shares,https://espiebi.pap.pl/node/713169
2026-01-15,19:51,4/2026,VR Factory Games SA - Odwołanie lub rezygnacja osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/643672
2026-01-15,19:30,2/2026,DATAWALK S.A. - Uzyskanie patentu w USA. Patent obtaining in US.,https://espiebi.pap.pl/node/713168
2026-01-15,19:08,2/2026,ECB SA - Terminy przekazywania do publicznej wiadomości raportów okresowych w 2026 roku.,https://espiebi.pap.pl/node/713167
2026-01-15,19:06,1/2026,ECB SA - Podpisanie aneksu do Umowy Ramowej i aneksu do Porozumienia Transakcyjnego z V-Project S.A. - zmiana warunków Umowy Ramowej dotyczącej dostaw surowca.,https://espiebi.pap.pl/node/713166
2026-01-15,18:51,5/2026,ESOTIQ & HENDERSON - Otrzymanie zawiadomienia w trybie art. 69 ustawy o ofercie publicznej,https://espiebi.pap.pl/node/713165
